                          base,     512,        all, HEADER,                      TEST,          TICK,  HASH,        REP
                           aes,   32768,        all, RESULT,                 radixsort,    2129691148,    7d,        100
                           aes,   40960,        all, RESULT,             binsearch_u64,        105738,    4f,        100
                           aes,   40960,        all, RESULT,                  dijkstra,     400928452,    b6,        100
                           aes,   40960,        all, RESULT,                      hist,     207924938,    d8,        100
                           aes,   40960,        all, RESULT,                    matmul,    6090600382,    4a,        100
                           aes,   40960,        all, RESULT,                 qsort_u32,    4570183404,    80,        100
                           aes,   40960,        all, RESULT,                 qsort_u64,    1671828634,    80,        100
                           aes,   40960,        all, RESULT,                 radixsort,    2672438374,     0,        100
                           aes,   49152,        all, RESULT,             binsearch_u64,        113238,    1f,        100
                           aes,   49152,        all, RESULT,                  dijkstra,     475724554,    a6,        100
                           aes,   49152,        all, RESULT,                      hist,     249433680,    bb,        100
                           aes,   49152,        all, RESULT,                    matmul,    7759351874,    43,        100
                           aes,   49152,        all, RESULT,                 qsort_u32,    5571478096,    19,        100
                           aes,   49152,        all, RESULT,                 qsort_u64,    2049143428,    19,        100
                           aes,   49152,        all, RESULT,                 radixsort,    3194825154,    19,        100
                           aes,   57344,        all, RESULT,             binsearch_u64,        112774,    42,        100
                           aes,   57344,        all, RESULT,                  dijkstra,     556939968,    1f,        100
                           aes,   57344,        all, RESULT,                      hist,     291210426,    40,        100
                           aes,   57344,        all, RESULT,                    matmul,   10144063014,    45,        100
